Page Name/  Score Assign,Promote [ post count ],Promote [ Score ],Review [ post count ],Review [ Score ],Advertise [ post count ],Advertise [ Score ],Quotes & Interviews    [ post count],Quotes & Interviews [ Score ],Entertain        [ Post Count ],Entertain [ Score ],Articles           [ post count ],Articles [ Score ],Liked,Frequency
วิ่งไหนดี,17,7.75,2,9.5,2,9,2,9,2,8.5,5,9.5,770818,7
Thairun,12,8.75,0,0,5,8.5,4,8.5,2,8,7,9.5,642590,14
Runner’s Journey,6,8,0,0,2,7.5,14,7.75,6,9,2,7.5,132710,6
ไปวิ่งกันเถอะ,8,7.5,1,7,0,0,1,0,7,8,13,8,132346,8
เรื่องวิ่งเรื่องกล้วย,10,8,1,8,6,9,10,9,0,0,3,8.5,130302,1
Runlah,24,8.5,0,0,4,8,0,8,0,0,2,9.5,116865,8
วิ่งไหนกัน ปั่นไหนดี,14,8,1,8.5,0,0,6,0,3,8,6,9.25,114320,4
นักวิ่งน่ารัก,0,0,0,0,0,0,0,0,28,9,2,8.75,111707,2
วิ่งแถวบ้าน,14,8.5,0,0,2,9,5,9,3,8,6,8.5,101052,3
ออกไปวิ่ง,19,8.5,1,7.5,0,0,0,0,4,8.75,6,9,95006,2
Running Insider,0,0,2,8,0,0,0,0,3,8.5,25,9.5,94722,5
ไปวิ่งกัน,8,8.5,0,0,0,0,0,0,3,9,19,8.5,94171,5